1/05/2026 12:00:00 AM;Ladbrokes Geelong-Professional-2026-05-01;Ladbrokes Popular SRM  Maiden Plate;00:01:49.483;GEEL_1700m_TRACK
Fenestella;8;160;17.16;00:00:10.920;360;17.65;00:00:11.630;560;17.11;00:00:11.930;760;17.19;00:00:11.880;960;16.85;00:00:12.010;1160;17.6;00:00:11.860;1360;17.61;00:00:11.780;1560;17.2;00:00:11.980;1760;16.55;00:00:12.790
And I Am;1;160;17.16;00:00:11.170;360;17.31;00:00:11.680;560;17.12;00:00:11.880;760;17.09;00:00:11.930;960;16.85;00:00:11.950;1160;17.47;00:00:11.850;1360;17.54;00:00:11.800;1560;17.27;00:00:11.970;1760;16.08;00:00:13.080
Chouxdino;4;160;17.12;00:00:10.830;360;17.63;00:00:11.430;560;17.13;00:00:11.890;760;16.96;00:00:11.890;960;16.82;00:00:11.980;1160;17.28;00:00:11.930;1360;17.39;00:00:12.030;1560;16.96;00:00:12.330;1760;15.77;00:00:13.390
Deelamour;7;160;17.2;00:00:11.030;360;17.22;00:00:11.660;560;16.96;00:00:11.920;760;16.96;00:00:11.970;960;16.97;00:00:12.110;1160;17.55;00:00:11.840;1360;17.76;00:00:11.780;1560;16.66;00:00:12.500;1760;15.63;00:00:13.320
Tarnation;5;160;17.46;00:00:11.360;360;17.44;00:00:11.730;560;17.24;00:00:11.930;760;17.21;00:00:11.930;960;16.99;00:00:11.910;1160;17.76;00:00:11.770;1360;17.77;00:00:11.890;1560;16.68;00:00:12.490;1760;15.6;00:00:13.510
Brutus Junius;3;160;17.56;00:00:10.680;360;17.54;00:00:11.450;560;17.39;00:00:11.640;760;16.98;00:00:11.960;960;16.77;00:00:12.080;1160;16.99;00:00:11.980;1360;16.83;00:00:12.140;1560;16.23;00:00:12.960;1760;15.01;00:00:14.040
Yatchaw;9;160;17.58;00:00:11.070;360;17.81;00:00:11.350;560;17.61;00:00:11.580;760;17.18;00:00:11.910;960;17.08;00:00:11.910;1160;17.02;00:00:12.100;1360;16.56;00:00:12.500;1560;15.64;00:00:13.170;1760;14.74;00:00:14.730
Torquay Toff;6;160;17.31;00:00:11.400;360;17.91;00:00:11.470;560;16.93;00:00:11.970;760;16.97;00:00:11.950;960;16.79;00:00:11.970;1160;17.68;00:00:11.780;1360;17.62;00:00:11.950;1560;16.57;00:00:12.840;1760;14.49;00:00:15.390
Ballistic Romeo;2;160;0;00:00:00.000;360;0;00:00:00.000;560;0;00:00:00.000;760;0;00:00:00.000;960;0;00:00:00.000;1160;0;00:00:00.000;1360;0;00:00:00.000;1560;0;00:00:00.000;1760;0;00:00:00.000
