built_at,meeting_key,race_key,runner_key,source,race_date,day_bucket,meeting_type,meeting_status,dashboard_ready,track,race_no,race_time,minutes_to_jump,race_state,distance,race_class,track_condition,rail_position,horse_no,saddlecloth,horse,horse_key,barrier,jockey,trainer,silkUrl,silk_url,local_silk_path,is_scratched,scratch_status,runner_status,ui_price,sportsbet_price,live_price,market_price,fixed_win,rated_price,ui_fair_price,edge_pct,ui_edge_pct,truth_grade,market_confidence,liquidity_grade,fake_overlay_flag,late_drift_risk,execution_trust_score,suppression_action,suppression_reason,clv_expectation,open_price,mid_price,close_price,flucs,last10,last_10,speed_map_bucket,map_position,run_style,pace_profile,settling_band,map_x_pct,map_y_px
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R6,2026-07-26_SALE_R6_MAGICDRUM,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,6,,,TIME_TBC,1000m,BM 58,Soft,,3,3,Magic Drum,MAGICDRUM,7,S.Clarke,K.L.Wilson,https://cdn.silks.racing.com/bb/189991.png,https://cdn.silks.racing.com/bb/189991.png,https://cdn.silks.racing.com/bb/189991.png,,ACTIVE,ACTIVE,9,9,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R6,2026-07-26_SALE_R6_NICEREINE,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,6,,,TIME_TBC,1000m,BM 58,Soft,,4,4,Nicereine,NICEREINE,2,L.J.Neindorf,P.Gelagotis,https://cdn.silks.racing.com/bb/192394.png,https://cdn.silks.racing.com/bb/192394.png,https://cdn.silks.racing.com/bb/192394.png,1,SCRATCHED,SCRATCHED,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SCRATCHED,SCRATCHED,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R6,2026-07-26_SALE_R6_ROOMFORBINGO,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,6,,,TIME_TBC,1000m,BM 58,Soft,,5,5,Room For Bingo,ROOMFORBINGO,5,N.Daniels,R.A.Waymouth,https://cdn.silks.racing.com/bb/68982.png,https://cdn.silks.racing.com/bb/68982.png,https://cdn.silks.racing.com/bb/68982.png,1,SCRATCHED,SCRATCHED,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SCRATCHED,SCRATCHED,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R6,2026-07-26_SALE_R6_RUBYAVENUE,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,6,,,TIME_TBC,1000m,BM 58,Soft,,6,6,Ruby Avenue,RUBYAVENUE,6,L.Nolen,A.Leek,https://cdn.silks.racing.com/bb/196309.png,https://cdn.silks.racing.com/bb/196309.png,https://cdn.silks.racing.com/bb/196309.png,,ACTIVE,ACTIVE,7.5,7.5,7.5,7.5,7.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R6,2026-07-26_SALE_R6_FLYINGMEAN,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,6,,,TIME_TBC,1000m,BM 58,Soft,,7,7,Flying Mean,FLYINGMEAN,4,D.Keane,C.W.McDonald,https://cdn.silks.racing.com/bb/2193.png,https://cdn.silks.racing.com/bb/2193.png,https://cdn.silks.racing.com/bb/2193.png,,ACTIVE,ACTIVE,6.5,6.5,6.5,6.5,6.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R6,2026-07-26_SALE_R6_POINTMOON,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,6,,,TIME_TBC,1000m,BM 58,Soft,,8,8,Point Moon,POINTMOON,9,J.Mott,C.Douglas,https://cdn.silks.racing.com/bb/186080.png,https://cdn.silks.racing.com/bb/186080.png,https://cdn.silks.racing.com/bb/186080.png,1,SCRATCHED,SCRATCHED,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SCRATCHED,SCRATCHED,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R6,2026-07-26_SALE_R6_IRRESISTIBLESIR,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,6,,,TIME_TBC,1000m,BM 58,Soft,,9,9,Irresistible Sir,IRRESISTIBLESIR,10,V.L.Boeuf,RC.Manning,https://cdn.silks.racing.com/bb/1831.png,https://cdn.silks.racing.com/bb/1831.png,https://cdn.silks.racing.com/bb/1831.png,,ACTIVE,ACTIVE,35,35,35,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R6,2026-07-26_SALE_R6_MISLIGHT,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,6,,,TIME_TBC,1000m,BM 58,Soft,,10,10,Mislight,MISLIGHT,3,J.Bowditch,R.A.Frost,https://cdn.silks.racing.com/bb/115173.png,https://cdn.silks.racing.com/bb/115173.png,https://cdn.silks.racing.com/bb/115173.png,,ACTIVE,ACTIVE,23,23,23,23,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R6,2026-07-26_SALE_R6_INVINCIBLEAMOUR,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,6,,,TIME_TBC,1000m,BM 58,Soft,,11,11,Invincible Amour,INVINCIBLEAMOUR,1,C.Hefel,B.J.McCarthy,https://cdn.silks.racing.com/bb/3632.png,https://cdn.silks.racing.com/bb/3632.png,https://cdn.silks.racing.com/bb/3632.png,,ACTIVE,ACTIVE,41,41,41,41,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R7,2026-07-26_SALE_R7_RASP,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,7,,,TIME_TBC,1600m,BM 64,"Handicap. Two-Years-Old and Upwards, No sex restriction. BenchMark 66. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,1,1,Rasp,RASP,3,N.Daniels,G.M.Bedggood,https://cdn.silks.racing.com/bb/151441.png,https://cdn.silks.racing.com/bb/151441.png,https://cdn.silks.racing.com/bb/151441.png,,ACTIVE,ACTIVE,7,7,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
