canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,early_lengths_vs_standard,mid_lengths_vs_standard,late_lengths_vs_standard,final_segment_lengths_vs_standard,best_segment_lengths_vs_standard,worst_segment_lengths_vs_standard,matched_segment_count,eligible_segment_count,calculated_segment_count,coverage_status,coverage_reason
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15701920,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15713342,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714008,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15717705,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15719841,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720036,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
