race_key,runner_key,race_date,track,race_number,runner_id,saddle_number,horse_name,split_sequence,split_label,split_start_distance_metres,split_end_distance_metres,split_distance_metres,segment_time_seconds,position_at_split_end,average_speed_source,source_page_url,source_payload_file,semantic_version,split_coverage_type,split_window_start_marker_metres,split_window_finish_marker_metres,split_window_distance_metres,full_race_split_coverage
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637600,2026-05-30,Caulfield,9,15637600,10,Fridge Monster,1,1200m-1000m,1200,1000,200,14.08,4,16.9,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637600,2026-05-30,Caulfield,9,15637600,10,Fridge Monster,2,1000m-800m,1000,800,200,11.03,4,18.15,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637600,2026-05-30,Caulfield,9,15637600,10,Fridge Monster,3,800m-600m,800,600,200,11.2,5,17.86,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637600,2026-05-30,Caulfield,9,15637600,10,Fridge Monster,4,600m-400m,600,400,200,12.26,6,17.3,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637600,2026-05-30,Caulfield,9,15637600,10,Fridge Monster,5,400m-200m,400,200,200,12.65,9,16.34,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637600,2026-05-30,Caulfield,9,15637600,10,Fridge Monster,6,200m-FINISH,200,0,200,13.65,9,14.58,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637820,2026-05-30,Caulfield,9,15637820,11,Supernima (NZ),1,1200m-1000m,1200,1000,200,14.31,8,16.89,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637820,2026-05-30,Caulfield,9,15637820,11,Supernima (NZ),2,1000m-800m,1000,800,200,11.04,9,18.12,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637820,2026-05-30,Caulfield,9,15637820,11,Supernima (NZ),3,800m-600m,800,600,200,11.2,9,17.85,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637820,2026-05-30,Caulfield,9,15637820,11,Supernima (NZ),4,600m-400m,600,400,200,12.59,10,16.95,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
