benchmark_group_id,canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,segment_sequence,segment_start_metres,segment_end_metres,segment_distance_metres,actual_elapsed_seconds,standard_elapsed_seconds,time_difference_seconds,surface,track_condition_number,track_condition_group,lengths_per_second,seconds_per_length,lengths_vs_standard,conversion_method,conversion_version,conversion_status,conversion_reason,source_hash,audit_status
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,11.682200,11.487700,-0.194500,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,11.409000,11.402500,-0.006500,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,10.851900,11.173100,0.321200,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,7,200,0,200,11.370100,11.841500,0.471400,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,13.947000,14.306100,0.359100,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,11.074200,11.176300,0.102100,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,11.614400,11.454800,-0.159600,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,11.668600,11.487700,-0.180900,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,11.409000,11.402500,-0.006500,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,11.210800,11.173100,-0.037700,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,7,200,0,200,11.534000,11.841500,0.307500,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,14.534900,14.306100,-0.228800,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,11.274000,11.176300,-0.097700,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,11.376600,11.454800,0.078200,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,11.402500,11.487700,0.085200,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,11.210800,11.402500,0.191700,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,10.940900,11.173100,0.232200,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,7,200,0,200,11.514100,11.841500,0.327400,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,14.234900,14.306100,0.071200,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,10.976900,11.176300,0.199400,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,11.467900,11.454800,-0.013100,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,11.402500,11.487700,0.085200,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,11.299400,11.402500,0.103100,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,11.142100,11.173100,0.031000,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,7,200,0,200,11.792500,11.841500,0.049000,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,14.316400,14.306100,-0.010300,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,11.191900,11.176300,-0.015600,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,11.454800,11.454800,0.000000,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,11.487700,11.487700,0.000000,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,11.117300,11.402500,0.285200,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,11.025400,11.173100,0.147700,SYNTHETIC,,,,,,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,EDGEIQ_GOING_DEPENDENT_LENGTHS_PER_SECOND_V1,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE,UNSUPPORTED_SURFACE,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,BLOCKED_UNSUPPORTED_LENGTH_CONVERSION_SCOPE
