canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,speed_phase,lengths_vs_standard,matched_segment_count,calculated_segment_count,coverage_status,coverage_reason,source_feed
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15701920,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15713342,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714008,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15717705,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15719841,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720036,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15713423,2026-07-20,Southside Pakenham Synthetic,7,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15714009,2026-07-20,Southside Pakenham Synthetic,7,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15715052,2026-07-20,Southside Pakenham Synthetic,7,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15716867,2026-07-20,Southside Pakenham Synthetic,7,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718048,2026-07-20,Southside Pakenham Synthetic,7,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718050,2026-07-20,Southside Pakenham Synthetic,7,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718174,2026-07-20,Southside Pakenham Synthetic,7,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15719488,2026-07-20,Southside Pakenham Synthetic,7,1400,LATE,,7,0,SECTIONAL_PERFORMANCE_SCOPE_BLOCKED,UNSUPPORTED_SURFACE,edgeiq_runner_sectional_performance_v1.csv
