benchmark_group_id,canonical_race_id,canonical_runner_id,canonical_track,course_identity,source_surface,canonical_surface_group,race_date,track,race_number,race_distance_metres,segment_sequence,segment_start_metres,segment_end_metres,segment_distance_metres,actual_elapsed_seconds,standard_elapsed_seconds,time_difference_seconds,track_condition_number,track_condition_group,lengths_per_second,seconds_per_length,lengths_vs_standard,conversion_method,conversion_version,conversion_status,conversion_reason,source_hash,audit_status
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,10.851900,11.173100,0.321200,,STANDARD_SYNTHETIC,6.000000000,0.166666667,1.927200,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,7,200,0,200,11.370100,11.841500,0.471400,,STANDARD_SYNTHETIC,6.000000000,0.166666667,2.828400,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,13.947000,14.306100,0.359100,,STANDARD_SYNTHETIC,6.000000000,0.166666667,2.154600,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,11.074200,11.176300,0.102100,,STANDARD_SYNTHETIC,6.000000000,0.166666667,0.612600,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,11.614400,11.454800,-0.159600,,STANDARD_SYNTHETIC,6.000000000,0.166666667,-0.957600,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,11.668600,11.487700,-0.180900,,STANDARD_SYNTHETIC,6.000000000,0.166666667,-1.085400,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,11.409000,11.402500,-0.006500,,STANDARD_SYNTHETIC,6.000000000,0.166666667,-0.039000,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,11.210800,11.173100,-0.037700,,STANDARD_SYNTHETIC,6.000000000,0.166666667,-0.226200,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,7,200,0,200,11.534000,11.841500,0.307500,,STANDARD_SYNTHETIC,6.000000000,0.166666667,1.845000,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,14.534900,14.306100,-0.228800,,STANDARD_SYNTHETIC,6.000000000,0.166666667,-1.372800,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,11.274000,11.176300,-0.097700,,STANDARD_SYNTHETIC,6.000000000,0.166666667,-0.586200,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,11.376600,11.454800,0.078200,,STANDARD_SYNTHETIC,6.000000000,0.166666667,0.469200,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,11.402500,11.487700,0.085200,,STANDARD_SYNTHETIC,6.000000000,0.166666667,0.511200,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,11.210800,11.402500,0.191700,,STANDARD_SYNTHETIC,6.000000000,0.166666667,1.150200,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,10.940900,11.173100,0.232200,,STANDARD_SYNTHETIC,6.000000000,0.166666667,1.393200,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,7,200,0,200,11.514100,11.841500,0.327400,,STANDARD_SYNTHETIC,6.000000000,0.166666667,1.964400,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,14.234900,14.306100,0.071200,,STANDARD_SYNTHETIC,6.000000000,0.166666667,0.427200,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,10.976900,11.176300,0.199400,,STANDARD_SYNTHETIC,6.000000000,0.166666667,1.196400,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,11.467900,11.454800,-0.013100,,STANDARD_SYNTHETIC,6.000000000,0.166666667,-0.078600,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,11.402500,11.487700,0.085200,,STANDARD_SYNTHETIC,6.000000000,0.166666667,0.511200,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,11.299400,11.402500,0.103100,,STANDARD_SYNTHETIC,6.000000000,0.166666667,0.618600,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,11.142100,11.173100,0.031000,,STANDARD_SYNTHETIC,6.000000000,0.166666667,0.186000,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,7,200,0,200,11.792500,11.841500,0.049000,,STANDARD_SYNTHETIC,6.000000000,0.166666667,0.294000,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,14.316400,14.306100,-0.010300,,STANDARD_SYNTHETIC,6.000000000,0.166666667,-0.061800,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,11.191900,11.176300,-0.015600,,STANDARD_SYNTHETIC,6.000000000,0.166666667,-0.093600,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,11.454800,11.454800,0.000000,,STANDARD_SYNTHETIC,6.000000000,0.166666667,0.000000,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,11.487700,11.487700,0.000000,,STANDARD_SYNTHETIC,6.000000000,0.166666667,0.000000,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2,APPROVED_AUSTRALIAN_SYNTHETIC_CONVERSION,,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,CALCULATED
