race_key,runner_key,race_date,track,race_number,runner_id,saddle_number,horse_name,split_sequence,split_label,split_start_distance_metres,split_end_distance_metres,split_distance_metres,segment_time_seconds,position_at_split_end,average_speed_source,source_page_url,source_payload_file,semantic_version
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637371,2026-05-30,Caulfield,1,15637371,3,Carnevale,2,1000m-800m,1000,800,200,11.68,4,17.13,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637371,2026-05-30,Caulfield,1,15637371,3,Carnevale,3,800m-600m,800,600,200,12.35,4,16.18,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637371,2026-05-30,Caulfield,1,15637371,3,Carnevale,4,600m-400m,600,400,200,11.84,3,16.83,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637371,2026-05-30,Caulfield,1,15637371,3,Carnevale,5,400m-200m,400,200,200,11.67,4,17.19,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637371,2026-05-30,Caulfield,1,15637371,3,Carnevale,6,200m-FINISH,200,0,200,12.52,7,16.09,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637214,2026-05-30,Caulfield,1,15637214,6,Qayed,1,1200m-1000m,1200,1000,200,14.69,7,16.29,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637214,2026-05-30,Caulfield,1,15637214,6,Qayed,2,1000m-800m,1000,800,200,11.59,7,17.25,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637214,2026-05-30,Caulfield,1,15637214,6,Qayed,3,800m-600m,800,600,200,12.3,6,16.26,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637214,2026-05-30,Caulfield,1,15637214,6,Qayed,4,600m-400m,600,400,200,11.93,6,16.99,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637214,2026-05-30,Caulfield,1,15637214,6,Qayed,5,400m-200m,400,200,200,11.66,7,17.34,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
