raceDate,meeting,raceNumber,runnerNumber,runnerName,rating,epi,marketPrice,edgeiqPrice,earlySpeed,suitability,raceShape,lateSpeed,formMomentum,preparationProfile,sectionalRunMatches,benchmarkRunMatches
2026-08-22,Sandown Hillside,4,2,Run Harry Run,,50.8,5.0,6.99,58.2,,,36.3,,YES,20,20
2026-08-22,Sandown Hillside,4,3,Craig,,51.37,6.5,6.89,57.3,,,60.7,,YES,10,10
2026-08-22,Sandown Hillside,4,4,Freedom Rally,,15.6625,14.0,32.32,57.5,49.0,NEUTRAL,35.7,-3.2,YES,5,5
2026-08-22,Sandown Hillside,4,5,First Chorus,,79.1,2.8,3.88,56.3,61.8,CLOSING_SETUP,50.0,-2.7,YES,16,16
2026-08-22,Sandown Hillside,4,6,Justadeel,,64.5,3.2,5.09,57.0,60.0,CLOSING_SETUP,60.1,-3.4,YES,14,14
2026-08-22,Sandown Hillside,4,7,Asva,,,17.4,,,,,,,YES,0,0
2026-08-22,Sandown Hillside,4,8,St Lawrence,,0.0,12.6,1441.71,57.2,50.7,CLOSING_SETUP,43.7,-2.1,YES,15,15
2026-08-22,Sandown Hillside,5,1,Unit Five,,36.675,12.5,13.6,58.3,,,36.1,,YES,2,2
2026-08-22,Sandown Hillside,5,2,Incognito,,,3.3,,,,,,,,0,0
2026-08-22,Sandown Hillside,5,3,Divine Dot,,59.25,9.0,5.04,58.4,68.4,NEUTRAL,27.6,0.8,YES,5,5
2026-08-22,Sandown Hillside,5,4,Hellfire Jess,,16.875,34.0,818.31,56.56,,,59.94,,YES,2,2
2026-08-22,Sandown Hillside,5,5,Jacaranda,,44.1,13.0,9.01,57.85,58.2,CLOSING_SETUP,64.62,-0.6,YES,2,2
2026-08-22,Sandown Hillside,5,6,Mull Of Kintyre,,66.75,7.0,4.07,,,,,,YES,1,1
2026-08-22,Sandown Hillside,5,7,One Day At A Time,,34.95,10.0,15.29,59.11,,PRESSURE_RISK,62.21,,YES,1,1
2026-08-22,Sandown Hillside,5,8,Oxley Tycoon,,47.37,17.0,7.77,58.18,60.2,CLOSING_SETUP,57.92,,YES,1,1
2026-08-22,Sandown Hillside,5,9,Shooting Brake,,46.25,9.5,8.16,58.3,58.7,NEUTRAL,50.9,7.1,YES,3,3
2026-08-22,Sandown Hillside,5,10,Somers Green,,,14.5,,58.6696,63.4,PRESSURE_RISK,62.2332,,YES,1,1
2026-08-22,Sandown Hillside,5,11,Calamari Ring,,19.125,10.1,166.68,58.72,,PRESSURE_RISK,50.0,,YES,2,2
2026-08-22,Sandown Hillside,5,12,Buggsy,,30.85,5.6,21.19,57.6,75.0,CLOSING_SETUP,34.1,7.3,YES,3,3
2026-08-22,Sandown Hillside,6,1,Saluted,,79.99,9.4,8.44,60.4,58.9,PRESSURE_RISK,47.0,1.8,YES,11,11
2026-08-22,Sandown Hillside,6,2,Per Sempre,,36.25,7.6,48.34,57.6,59.6,NEUTRAL,41.3,1.7,YES,29,29
2026-08-22,Sandown Hillside,6,3,She's My Ex,,85.94,11.2,7.43,57.9,,,40.1,,YES,5,5
2026-08-22,Sandown Hillside,6,4,Body Of Venus,,66.04,67.0,12.04,57.1,,,35.7,,YES,5,5
2026-08-22,Sandown Hillside,6,5,Mrs Archibald,,72.35,23.1,10.14,59.1,56.1,PRESSURE_RISK,39.2,-2.3,YES,23,23
2026-08-22,Sandown Hillside,6,6,Semelle Rouge,,47.64,32.0,23.84,57.3,53.2,CLOSING_SETUP,36.5,-0.8,YES,6,6
2026-08-22,Sandown Hillside,6,7,Vain Champagne,,54.475,16.7,17.74,56.1,,,49.5,,YES,8,8
2026-08-22,Sandown Hillside,6,8,No Limitation,,43.3,4.8,29.94,59.4,54.5,PRESSURE_RISK,34.5,-0.7,YES,7,7
2026-08-22,Sandown Hillside,6,9,Silver Cliff,,63.22,67.1,13.11,56.9,55.8,CLOSING_SETUP,42.6,-0.4,YES,15,15
2026-08-22,Sandown Hillside,6,10,Egerton,,34.925,31.0,54.11,57.3,,,48.9,,YES,13,13
2026-08-22,Sandown Hillside,6,11,Set Me Loose,,31.75,3.9,74.2,55.8,60.3,CLOSING_SETUP,60.6,-4.8,YES,2,2
2026-08-22,Sandown Hillside,6,12,Wicked Storm,,26.125,40.2,173.41,58.97,,,60.95,,YES,6,6
2026-08-22,Sandown Hillside,6,13,Coco De Luxe,,44.52,35.0,27.97,,,,,,YES,1,1
2026-08-22,Sandown Hillside,6,14,Conscience,,51.2,2.3,20.28,57.6,63.5,NEUTRAL,46.2,-0.7,YES,5,5
2026-08-22,Sandown Hillside,6,15,Final Moment,,82.75,13.0,7.95,58.8,61.7,NEUTRAL,48.3,-1.8,YES,10,10
2026-08-22,Sandown Hillside,6,16,Miss Cotoletta,,67.86,13.0,11.43,57.5,52.8,CLOSING_SETUP,40.1,-0.7,YES,10,10
