source_type,race_id,race_date,track,track_key,race_no,race_no_numeric,horse_id,horse,saddle_number,trainer,jockey,final_position,final_position_abbreviation,comment,barrier_number,start_position,race_time,beaten_margin,distance_run,time_var_to_winner,distance_var_to_winner,six_hundred_metres_time,two_hundred_metres_time,row_type,distance_label,position,time,avg_speed_mps,avg_speed_kmh,response_path,response_sha256,parsed_utc
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15720318,Savannah Chill (NZ),12,"Ben, Will & JD Hayes",J.McNeil,1,1st,Jumped Ok Not Bustled Drifted Back Off Mid-Field Inside 6 Lengths came Wide Turn Quickly Joined in Kept Going Far Too Well synthetic # Far Too Good,3,0,1:22.44,0,1405,0,,33.53,11.21,SPLIT,800m-600m,8,11.67,17.1,61.56,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15720318,Savannah Chill (NZ),12,"Ben, Will & JD Hayes",J.McNeil,1,1st,Jumped Ok Not Bustled Drifted Back Off Mid-Field Inside 6 Lengths came Wide Turn Quickly Joined in Kept Going Far Too Well synthetic # Far Too Good,3,0,1:22.44,0,1405,0,,33.53,11.21,SPLIT,600m-400m,8,11.49,17.55,63.18,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15720318,Savannah Chill (NZ),12,"Ben, Will & JD Hayes",J.McNeil,1,1st,Jumped Ok Not Bustled Drifted Back Off Mid-Field Inside 6 Lengths came Wide Turn Quickly Joined in Kept Going Far Too Well synthetic # Far Too Good,3,0,1:22.44,0,1405,0,,33.53,11.21,SPLIT,400m-200m,1,10.83,18.54,66.744,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15720318,Savannah Chill (NZ),12,"Ben, Will & JD Hayes",J.McNeil,1,1st,Jumped Ok Not Bustled Drifted Back Off Mid-Field Inside 6 Lengths came Wide Turn Quickly Joined in Kept Going Far Too Well synthetic # Far Too Good,3,0,1:22.44,0,1405,0,,33.53,11.21,SPLIT,200m-FINISH,1,11.21,17.85,64.26,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SECTIONAL,1200m,11,1:08.09,13.7,49.32,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SECTIONAL,1000m,11,56.81,17.72,63.792,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SECTIONAL,800m,11,45.38,17.5,63,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SECTIONAL,600m,11,33.83,17.12,61.632,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SECTIONAL,400m,10,22.37,17.53,63.108,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SECTIONAL,200m,3,11.49,18.43,66.348,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
