benchmark_group_id,canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,segment_start_metres,segment_end_metres,segment_distance_metres,elapsed_time_seconds,average_speed_mps,eligibility_status,source_format,source_hash,standard_time_eligibility_status
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15715052,2026-07-20,Southside Pakenham Synthetic,7,1400,1000,800,200,11.5407,17.330000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15719488,2026-07-20,Southside Pakenham Synthetic,7,1400,1000,800,200,11.6686,17.140000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15714009,2026-07-20,Southside Pakenham Synthetic,7,1400,1000,800,200,11.3830,17.570000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720552,2026-07-20,Southside Pakenham Synthetic,7,1400,1000,800,200,11.3122,17.680000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720532,2026-07-20,Southside Pakenham Synthetic,7,1400,1000,800,200,11.4548,17.460000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15716867,2026-07-20,Southside Pakenham Synthetic,7,1400,1000,800,200,11.5473,17.320000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718050,2026-07-20,Southside Pakenham Synthetic,7,1400,1000,800,200,11.2867,17.720000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720319,2026-07-20,Southside Pakenham Synthetic,7,1400,1000,800,200,11.2549,17.770000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718174,2026-07-20,Southside Pakenham Synthetic,7,1400,1000,800,200,11.5075,17.380000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.3885,13.900000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.5985,13.700000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,13.9470,14.340000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
