ra_horse_id,rcom_horse_id,canonical_horse_id,ra_horse_name,rcom_horse_name,normalised_name,match_tier,match_status,evidence_fields,evidence_values,candidate_count,conflict_status,decision_reason,policy_id,source_files
RA_HORSE_33274069110,RCOM_HORSE_5256567,RCOM_HORSE_5256567,DELIGHTFUL JOURNEY,DELIGHTFUL JOURNEY,DELIGHTFULJOURNEY,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=42;first_date=2021-04-17;last_date=2025-09-14;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_april_2021_results_v1.csv|edgeiq_graphql_april_2023_results_v1.csv|edgeiq_graphql_august_2023_results_v1.csv|edgeiq_graphql_august_2024_results_v1.csv|edgeiq_graphql_august_2025_results_v1.csv|edgeiq_graphql_december_2021_results_v1.csv|edgeiq_graphql_february_2023_results_v1.csv|edgeiq_graphql_february_2025_results_v1.csv|edgeiq_graphql_january_2023_results_v1.csv|edgeiq_graphql_july_2024_results_v1.csv|edgeiq_graphql_july_2025_results_v1.csv|edgeiq_graphql_june_2021_results_v1.csv|edgeiq_graphql_june_2024_results_v1.csv|edgeiq_graphql_march_2022_results_v1.csv|edgeiq_graphql_march_2023_results_v1.csv|edgeiq_graphql_march_2025_results_v1.csv|edgeiq_graphql_may_2021_results_v1.csv|edgeiq_graphql_may_2023_results_v1.csv|edgeiq_graphql_may_2024_results_v1.csv|edgeiq_graphql_may_2025_results_v1.csv|edgeiq_graphql_october_2023_results_v1.csv|edgeiq_graphql_october_2024_results_v1.csv|edgeiq_graphql_september_2023_results_v1.csv|edgeiq_graphql_september_2024_results_v1.csv|edgeiq_graphql_september_2025_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33746027580,RCOM_HORSE_5331126,RCOM_HORSE_5331126,EXPRESS GUARD,EXPRESS GUARD,EXPRESSGUARD,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=21;first_date=2024-08-26;last_date=2026-06-22;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_april_2025_results_v1.csv|edgeiq_graphql_april_2026_results_v1.csv|edgeiq_graphql_august_2024_results_v1.csv|edgeiq_graphql_december_2025_results_v1.csv|edgeiq_graphql_february_2025_results_v1.csv|edgeiq_graphql_january_2026_results_v1.csv|edgeiq_graphql_june_2026_results_v1.csv|edgeiq_graphql_march_2025_results_v1.csv|edgeiq_graphql_may_2026_results_v1.csv|edgeiq_graphql_november_2025_results_v1.csv|edgeiq_graphql_october_2024_results_v1.csv|edgeiq_graphql_september_2024_results_v1.csv|edgeiq_graphql_september_2025_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33587290170,RCOM_HORSE_5306049,RCOM_HORSE_5306049,ANNABELLE SUNSHINE,ANNABELLE SUNSHINE,ANNABELLESUNSHINE,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=16;first_date=2023-04-11;last_date=2026-06-11;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_april_2023_results_v1.csv|edgeiq_graphql_april_2026_results_v1.csv|edgeiq_graphql_december_2024_results_v1.csv|edgeiq_graphql_february_2024_results_v1.csv|edgeiq_graphql_january_2025_results_v1.csv|edgeiq_graphql_june_2026_results_v1.csv|edgeiq_graphql_may_2026_results_v1.csv|edgeiq_graphql_november_2024_results_v1.csv|edgeiq_graphql_october_2024_results_v1.csv|edgeiq_graphql_september_2024_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33459588750,RCOM_HORSE_5285875,RCOM_HORSE_5285875,ZE BEE NINE,ZE BEE NINE,ZEBEENINE,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=35;first_date=2023-04-23;last_date=2026-06-12;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_april_2023_results_v1.csv|edgeiq_graphql_april_2024_results_v1.csv|edgeiq_graphql_april_2025_results_v1.csv|edgeiq_graphql_august_2025_results_v1.csv|edgeiq_graphql_december_2024_results_v1.csv|edgeiq_graphql_february_2024_results_v1.csv|edgeiq_graphql_february_2025_results_v1.csv|edgeiq_graphql_january_2025_WEEK4_results_v1.csv|edgeiq_graphql_july_2024_results_v1.csv|edgeiq_graphql_july_2025_results_v1.csv|edgeiq_graphql_june_2024_results_v1.csv|edgeiq_graphql_june_2025_results_v1.csv|edgeiq_graphql_june_2026_results_v1.csv|edgeiq_graphql_march_2024_results_v1.csv|edgeiq_graphql_march_2025_results_v1.csv|edgeiq_graphql_may_2023_results_v1.csv|edgeiq_graphql_may_2024_results_v1.csv|edgeiq_graphql_may_2025_results_v1.csv|edgeiq_graphql_november_2025_results_v1.csv|edgeiq_graphql_october_2025_results_v1.csv|edgeiq_graphql_september_2025_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33849326850,RCOM_HORSE_5347445,RCOM_HORSE_5347445,PRINCESS SAKIKO,PRINCESS SAKIKO,PRINCESSSAKIKO,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=9;first_date=2025-09-23;last_date=2026-01-02;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_december_2025_results_v1.csv|edgeiq_graphql_january_2026_results_v1.csv|edgeiq_graphql_november_2025_results_v1.csv|edgeiq_graphql_october_2025_results_v1.csv|edgeiq_graphql_september_2025_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33820474710,RCOM_HORSE_5342887,RCOM_HORSE_5342887,BRILLIANT BULL ANT,BRILLIANT BULL ANT,BRILLIANTBULLANT,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=9;first_date=2025-11-24;last_date=2026-06-23;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_december_2025_results_v1.csv|edgeiq_graphql_february_2026_results_v1.csv|edgeiq_graphql_january_2026_results_v1.csv|edgeiq_graphql_june_2026_results_v1.csv|edgeiq_graphql_november_2025_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33856106280,RCOM_HORSE_5348516,RCOM_HORSE_5348516,ERNIE,ERNIE,ERNIE,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=3;first_date=2025-10-30;last_date=2026-05-29;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_december_2025_results_v1.csv|edgeiq_graphql_may_2026_results_v1.csv|edgeiq_graphql_october_2025_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_33913842210,RCOM_HORSE_5357637,RCOM_HORSE_5357637,RAMELLE,RAMELLE,RAMELLE,UNIQUE_EXACT_NAME_CONTINUITY,RESOLVED_UNIQUE_CONTINUITY,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_count=1;historical_rows=4;first_date=2025-12-16;last_date=2026-06-24;trainer_match=NO,1,NO_CONFLICT,UNIQUE_EXACT_NORMALISED_NAME_WITH_NO_CONFLICTING_REPOSITORY_EVIDENCE_AND_PLAUSIBLE_CHRONOLOGY,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_december_2025_results_v1.csv|edgeiq_graphql_june_2026_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
RA_HORSE_34043588220,,RA_HORSE_34043588220,ROCKZINO (NZ),,ROCKZINO,UNRESOLVED,NO_CANDIDATE,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,repository_name_candidate_count=0,0,NO_CANDIDATE,NO_RCOM_CANDIDATE_FOUND_IN_REPOSITORY_WIDE_EVIDENCE_INDEX,EDGEIQ-RA-RCOM-BRIDGE-A-v1,public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv
RA_HORSE_33892123980,,RA_HORSE_33892123980,FOXTROT CHARLIE,,FOXTROTCHARLIE,UNRESOLVED,AMBIGUOUS,normalised_name|historical_horse_code|historical_row_count|trainer_continuity|chronology,candidate_ids=RCOM_HORSE_413706|RCOM_HORSE_5354206,2,AMBIGUOUS,MULTIPLE_RCOM_CANDIDATES_FOR_NORMALISED_NAME,EDGEIQ-RA-RCOM-BRIDGE-A-v1,edgeiq_graphql_december_2000_results_v1.csv|edgeiq_graphql_december_2025_results_v1.csv|edgeiq_graphql_january_2001_results_v1.csv|edgeiq_graphql_january_2026_results_v1.csv|edgeiq_graphql_november_2000_results_v1.csv|public/data/edgeiq_current_horse_identity_crosswalk_v1.csv|public/data/edgeiq_daily_official_results_fact_v1.csv|public/data/edgeiq_historical_results_warehouse_v2_graphql.csv
