canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,canonical_surface_group,speed_phase,lengths_vs_standard,coverage_status,source_feed,method_version
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15701920,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,-4.645800,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15713342,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,0.409200,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714008,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,-0.796200,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,1.927200,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,0.186000,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15717705,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,0.372000,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15719841,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,-0.911400,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720036,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,-1.729200,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,1.393200,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,-0.226200,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
