current_canonical_runner_id,current_canonical_horse_name,historical_canonical_horse_id,historical_canonical_horse_name,identity_resolution_method,identity_resolution_status,identity_resolution_reason_code,historical_name_collision_count,identity_builder_version,identity_method_version,identity_bridge_evidence_sha256
RCOM_HORSE_5289137,Test The Law,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,10465b90ff0d8ede820cf2fab992f83291a91247853141d63e1af88d90011d4e
RCOM_HORSE_5290018,Dashing Donkey,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,4ea2c6d949ae51cc6f60c40ae95894b7e1af2f3f81686fdbc376b0c23ce8a174
RCOM_HORSE_5290327,Everett,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,891e2fdea0a6367e22d9ee46c545b1d434d98b50ce4eb78ef6040dd6334b1dec
RCOM_HORSE_5291437,Powerbound,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,c06185b90be16a7d19b47a0875a10ad5eea419814d323f40b0ff2a665f2073c1
RCOM_HORSE_5291851,Tapo,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,5248a59e41f92cc377b6a8bcf86324683ebf59a8aa8d7974856519509dcb6a65
RCOM_HORSE_5293267,Mutsuhito,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,4cbfb5f372d74e27e7edf4b3c1b52c5672b9df192711f0fd347cc4cafcbd40be
RCOM_HORSE_5295675,Magnaspin,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,d966c584d59b85df9870ee382a3268e6dd1f2036a7a9cc56a7361e2da3217867
RCOM_HORSE_5299312,Sub Gauge,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,f2c58f0da69ca6ab3fb342baeba0381fc40babc1f88823ea1e3dd984e6b89a1a
RCOM_HORSE_5303794,Seafall,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,bcb6a372cb9151e3117546758edb4a97a90171b2843605003ad7592167a38c05
RCOM_HORSE_5304588,Cosmic Crusader,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,6636d676e72e65716cad4373e0fd82cdfdeb2c82a6d2c2d8d7dd9b182bfb68b6
RCOM_HORSE_5304809,Royal Infantry,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,c1579e0f7779070e53aab3fd01969ddb425728f51c7e617431ad6726f3d6bf10
RCOM_HORSE_5305577,Needawinna,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,8a442fe43a5ca51ea501aad1df4059023ed498443b6d2f38c3b08424a7b236b5
RCOM_HORSE_5305645,College Dropout,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,7c0d3fa42bf511d868b9fca305eb68d098844846123ff97fdd676c261ed3cdcb
RCOM_HORSE_5305680,Divine Thoughts,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,101c304cb37baf5fc614a9146ad2fb54a9f730d34ed003a52fb63e00476676e3
RCOM_HORSE_5306061,Stellar Mofeed,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,f094c7c5d644b6e6194785bab4752657edb2fdf0462a32d70d1beb4af25eb096
