race_entry_epi_component_id,race_entry_id,race_id,race_date,epi_component_code,component_source_fact_name,component_source_fact_id,component_source_value_field,component_source_evidence_sha256,raw_component_value,field_population_count,field_component_mean,field_component_population_standard_deviation,unbounded_normalised_component_value,capped_normalised_component_value,authorised_component_weight,weighted_component_value,epi_parameter_id,epi_component_normalisation_parameter_id,epi_component_publication_decision,epi_component_reconciliation_decision,epi_component_status,race_entry_epi_component_evidence_sha256,source_lineage,builder_version,contract_version,built_at_utc
REEC-CUR-FFCB3943AC53D06E7FEF4F0E,99568159110,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-208BF20BF0B96D162F524536,formMomentum,3ea7926f834ca6e9b6759040e3229e80864b46a44d02ad4cd6950932062b7a22,2.3,6,0.183333,4.890268,0.432832,0.432832,0.500000,0.216416,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,b3d872b5c3de18b6fc33322c17e7ead11a16a3a2637d43598147807a76ced8f9,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-C816A7D88B5AC545AC16C202,99528640920,EIQD-C37EA5A90D5C022617026D89,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-F514EFAB64C32843EC4CA2FB,formMomentum,0fd32cdcca65a32a77b608ddd6993ca048256a35fba2cd2b1a145da2a761ba81,-0.6,4,-1.950000,0.963068,1.401770,1.401770,0.500000,0.700885,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,7e46afc76c869894a5b555a1bbf6da9bbda5dc18c603b2bbfd4d24e7231bf87f,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-08A5BFA6273DAB70ABFC6262,99539117070,EIQD-C37EA5A90D5C022617026D89,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-DFE369B4554332817AB93E13,formMomentum,f71ffa9ed7d9ee008f968ac7bbc4319ea644f0e7fab8f1673356ecff930ad222,-1.6,4,-1.950000,0.963068,0.363422,0.363422,0.500000,0.181711,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,6c2bf0882e4a00f8ea762a29d215a0bb4100bf6bf9934e7f8df45672c1df0c0f,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-7E05905A199935514123EABF,99524001030,EIQD-C37EA5A90D5C022617026D89,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-4D041B9FD6C88373559D9462,formMomentum,a7244a5122de167365fd61ec388951e916f6d3670a36623b3c381d83e69e2bf7,-3.2,4,-1.950000,0.963068,-1.297935,-1.297935,0.500000,-0.648968,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,1097b836102da8f7da4bcf6da5732181af564970335f8fea129338dcd6322386,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-783CA040719FE3E1A0D446CD,99509910450,EIQD-C37EA5A90D5C022617026D89,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-14098598AE6A6A8443EF6F6A,formMomentum,786f60b57e31a7c128b2351a338e8f2e671454d80fd40b1bfde0eb608b351528,-2.4,4,-1.950000,0.963068,-0.467257,-0.467257,0.500000,-0.233628,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,a53c0ab14c52e704c9921e85c20726d8c7c9a076616f20599bee846d52e0dcb9,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-9EBB28C857204F84584A79DE,99533413740,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-E11F11D0126B053250ECAF65,formMomentum,542d8d7be048b84d6a5700baa17a1a7dc1e65f819cf908f0a7fa6e86453f79b7,0.5,6,-1.116667,5.556803,0.290935,0.290935,0.500000,0.145467,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,e2c03d08e0684f4eadff04751e6444c91834b6bd5c918364dbbc1ae08f982ccb,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-F7779EA316A281952C0FE977,99561139140,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-66AAD5EF41F1B7E8484D57DF,formMomentum,0440a36092e6f9ff1395dc2022f836ccac097b2d67be47b304ea1a29e65044cb,0.1,6,-1.116667,5.556803,0.218951,0.218951,0.500000,0.109475,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,9494459db349e648b6ef31c768f34852f83ef459515217781128f1a1e02a4d8b,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-9528E0E9A59AD383A760E25D,99557518380,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-CEB050B59B91CA03B41EE86D,formMomentum,1e62b23cfe8f9208f39bc071102eda8bcb818955493fab614a6209320e310ec8,0.7,6,-1.116667,5.556803,0.326927,0.326927,0.500000,0.163463,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,50980499b7f4b92795fa02598e4ea1147561338975d493c9dc695fdb41ec77f9,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-484B12020F18BE05F4FC6827,99565804350,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-0F477F97779AE5FE8F5012AA,formMomentum,e35451f65c288715a4182991b04bf84c5b78d64e882d3fc7b9fcb537dfc73b33,8.0,6,-1.116667,5.556803,1.640632,1.640632,0.500000,0.820316,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,fa9654a20be1bcfd673f70cc96e91d313487f86038c0f4d6ad39cdcd52168da1,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REEC-CUR-7AF5BDE6D82926D52CA7C183,99558398250,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,HISTORICAL_PERFORMANCE,edgeiq_form_guide_enriched_v2,REPP-CUR-09D332CF4EAF99EDA2A65275,formMomentum,fc8e71be9fe8e42c90af810c8714db4cf03e7e61699de156fe3e364b5d71b0d2,-8.0,6,-1.116667,5.556803,-1.238722,-1.238722,0.500000,-0.619361,EPIP1-14578898B157ACE77DF0A29F,LIVE_FORM_GUIDE_CURRENT_COMPONENT_NORMALISATION,EPI_COMPONENT_PUBLISHED,EPI_COMPONENT_RECONCILED,GOVERNED_RACE_ENTRY_EPI_COMPONENT,270b67859e75c2141c844df9accb4572591ca5b5f814e3570c18e7aee8ee6af1,RA_TO_RCOM_BRIDGE|LIVE_FORM_GUIDE_CURRENT_INPUTS,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
