race_entry_projected_performance_id,race_entry_suitability_aggregate_id,race_entry_context_adjusted_performance_id,race_entry_context_adjustment_id,race_entry_context_parameter_selection_id,race_entry_context_eligibility_id,race_entry_performance_context_id,race_entry_id,race_id,race_date,runner_id,canonical_horse_id,canonical_horse_name,historical_rating_value,context_parameter_id,total_context_adjustment,aggregate_suitability_value,context_adjusted_performance_value,projected_performance_value,projected_performance_delta_from_historical,projected_performance_publication_decision,projected_performance_reconciliation_decision,race_entry_projected_performance_status,source_adjusted_performance_evidence_sha256,source_suitability_aggregate_evidence_sha256,race_entry_projected_performance_evidence_sha256,source_adjusted_performance_builder_version,source_suitability_aggregate_builder_version,builder_version,contract_version,built_at_utc
REPP-CUR-208BF20BF0B96D162F524536,RESA-CUR-4A55C84114D7A2F177CBDA11,,,,,,99568159110,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5351579,RCOM_HORSE_5351579,TALKIN’ STERN,2.3,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,56.4,2.3,2.3,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,c5f48a2f7c6558b76b34baf2b430c9b1daa0ea52659464407c642e614bef6bd1,98fc283cddc29d3363c66dbb9013210538a435b1b1676a3ccecca26def4945bd,c5f48a2f7c6558b76b34baf2b430c9b1daa0ea52659464407c642e614bef6bd1,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-F514EFAB64C32843EC4CA2FB,RESA-CUR-D852EAC2D6468C290F0F1B3C,,,,,,99528640920,EIQD-C37EA5A90D5C022617026D89,2026-07-26,RCOM_HORSE_872362,RCOM_HORSE_872362,THE COMEDIAN,-0.6,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,52.4,-0.6,-0.6,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,a29b88a89b960e018a68b5e0e568bde8440a5f663cd66d54a69a931a62ae1e05,848512da69e774d93d97a13ddc4cc204bc2d8ca932f15e0e895e4a8e180cfae0,a29b88a89b960e018a68b5e0e568bde8440a5f663cd66d54a69a931a62ae1e05,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-DFE369B4554332817AB93E13,RESA-CUR-45C551AC6A93FBFDB50F043F,,,,,,99539117070,EIQD-C37EA5A90D5C022617026D89,2026-07-26,RCOM_HORSE_5340233,RCOM_HORSE_5340233,WATTEN ASSETT,-1.6,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,49.4,-1.6,-1.6,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,4a3a71158daaba35e369250df3bf381df5d51538d4d8fe840b1208489e039228,6a5c1b2b6fcb00309b1d371e5b24359c646d3f46c57d9f2bb5ec54583fdd54ce,4a3a71158daaba35e369250df3bf381df5d51538d4d8fe840b1208489e039228,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-4D041B9FD6C88373559D9462,RESA-CUR-9F423D8DD9E8EDDFAF73D35C,,,,,,99524001030,EIQD-C37EA5A90D5C022617026D89,2026-07-26,RCOM_HORSE_5357661,RCOM_HORSE_5357661,WINSILENCE (NZ),-3.2,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,46.0,-3.2,-3.2,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,013ad4bce77b643f4cca29ce6606900aef68a7c9d6a8008fb0b3001dd32fc048,e1a4a435f9f90dd85185dd2cd4bc30612d955a889b2136fde734a8fe08a673ca,013ad4bce77b643f4cca29ce6606900aef68a7c9d6a8008fb0b3001dd32fc048,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-14098598AE6A6A8443EF6F6A,RESA-CUR-830F45A71D6F1D643AB899B0,,,,,,99509910450,EIQD-C37EA5A90D5C022617026D89,2026-07-26,RCOM_HORSE_5312028,RCOM_HORSE_5312028,BANNED WITNESS,-2.4,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,47.2,-2.4,-2.4,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,0bff0dabf79372013544d4ea88f610b45952ef9415a05184ee5734aa5c0413da,4dc3d00d13ee7577b6077fc794396f5112e85a7db812182a366350757e8e3bb7,0bff0dabf79372013544d4ea88f610b45952ef9415a05184ee5734aa5c0413da,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-E11F11D0126B053250ECAF65,RESA-CUR-21465D010F3CB2115211DFE6,,,,,,99533413740,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,RCOM_HORSE_5246536,RCOM_HORSE_5246536,COME ALONG JEFFREY,0.5,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,53.8,0.5,0.5,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,bd7a3d3c1d5000ee70f7eeadba0782f8f599afdf9568d8a1a0f035c504b5b2d2,b463c2b967cd722799ff0be9a2582098360c8189fd6e7c32c558d17f1a04a250,bd7a3d3c1d5000ee70f7eeadba0782f8f599afdf9568d8a1a0f035c504b5b2d2,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-66AAD5EF41F1B7E8484D57DF,RESA-CUR-0BDBA88EA53F1B1696A529D1,,,,,,99561139140,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,RCOM_HORSE_5353645,RCOM_HORSE_5353645,HUMZA BEY (NZ),0.1,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,58.0,0.1,0.1,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,052bd8259d0a800150f5678ef9b88bdaaaac614d2feb6c0ce01c3a70ae19de16,f560d197cb764185605ea88fc8fa544e8485b1dcb1e68bbf19675fafd43d35d2,052bd8259d0a800150f5678ef9b88bdaaaac614d2feb6c0ce01c3a70ae19de16,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-CEB050B59B91CA03B41EE86D,RESA-CUR-5D458DD2869D012A8564C4E1,,,,,,99557518380,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,RCOM_HORSE_5326746,RCOM_HORSE_5326746,THINXZO,0.7,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,62.3,0.7,0.7,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,4c34be5eb57ba62d5c20382b42590fdd920f87b8442e3ba7153bd6de7973f7c3,2fbdbedb3c2ceb4b3a96712f6c4816becf25e66b46a6395aba9de66677c21a78,4c34be5eb57ba62d5c20382b42590fdd920f87b8442e3ba7153bd6de7973f7c3,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-0F477F97779AE5FE8F5012AA,RESA-CUR-FE8DC4D18FC49AF8C86C8C30,,,,,,99565804350,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,RCOM_HORSE_5331062,RCOM_HORSE_5331062,DOLLAR SHOT,8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,69.3,8.0,8.0,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,37bfc35dd767ef85251476ded23ecb66dc79fc4c934b1bce06a22f6e0eff7517,b6be423aa95fdffe100d08509a5404d9329463546f50c3d9032b2bfee473b176,37bfc35dd767ef85251476ded23ecb66dc79fc4c934b1bce06a22f6e0eff7517,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
REPP-CUR-09D332CF4EAF99EDA2A65275,RESA-CUR-2D05B6A6B9072A209F8F181C,,,,,,99558398250,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,RCOM_HORSE_5323720,RCOM_HORSE_5323720,UNTAPPED,-8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,52.7,-8.0,-8.0,0,PROJECTED_PERFORMANCE_PUBLISHED,PROJECTED_PERFORMANCE_RECONCILED,GOVERNED_PROJECTED_PERFORMANCE,79eacbd7d8e4ca570da05d9d5f77e5352176d02740afb4beed028fa39db9c86e,5e0985ee2a7a237188b1d97cd6c04b5c48f029c45f8cd1c0f646e9a904e63dca,79eacbd7d8e4ca570da05d9d5f77e5352176d02740afb4beed028fa39db9c86e,edgeiq_form_guide_enriched_v2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
