race_date,track,race_no,race_name,race_distance_m,race_class_code,race_class_source_value,rail_position,track_condition,track_rating,meet_code,race_id,source_url,meeting_evidence_file,race_list_evidence_file,meeting_evidence_sha256,race_list_evidence_sha256,governance_status,builder_version,built_at_utc
2026-07-25,CAULFIELD,5,Tobin Brothers Celebrating Lives Handicap,1600,Open,Open,Out 10m Entire Circuit,Soft,6,5191040,5440681,https://www.racing.com/form/2026-07-25/caulfield/race/5,docs\victoria-performance-intelligence-race-context-authority-v1\raw-official-race-context-v1\2026-07-25_CAULFIELD_getMeeting_cf236e6e3d877068.json,docs\victoria-performance-intelligence-race-context-authority-v1\raw-official-race-context-v1\2026-07-25_CAULFIELD_getNoCacheRacesForMeet_21eedf068d5164cf.json,c2430a7cc1daea9760dc323d9136052c366f81c168fe5209b683bc94373605c3,ce3c99d4844637d87129508b658b9c61f2ae2f6e03fff37acc353630948e4f96,COMPLETE_OFFICIAL_RACE_CONTEXT,edgeiq_official_race_context_source_v1.0.0,2026-07-30T00:03:46Z
2026-07-25,CAULFIELD,7,The Big Screen Company Bletchingly Stakes,1200,Group 3,Group 3,Out 10m Entire Circuit,Soft,6,5191040,5440680,https://www.racing.com/form/2026-07-25/caulfield/race/7,docs\victoria-performance-intelligence-race-context-authority-v1\raw-official-race-context-v1\2026-07-25_CAULFIELD_getMeeting_cf236e6e3d877068.json,docs\victoria-performance-intelligence-race-context-authority-v1\raw-official-race-context-v1\2026-07-25_CAULFIELD_getNoCacheRacesForMeet_21eedf068d5164cf.json,c2430a7cc1daea9760dc323d9136052c366f81c168fe5209b683bc94373605c3,f9170b1548a6e5466e5356797aed882275a596667befb8207e83b7204147b85e,COMPLETE_OFFICIAL_RACE_CONTEXT,edgeiq_official_race_context_source_v1.0.0,2026-07-30T00:03:46Z
