canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,canonical_surface_group,speed_phase,lengths_vs_standard,coverage_status,source_feed,method_version
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15701920,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,EARLY,2.415600,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15713342,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,EARLY,-2.092800,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714008,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,EARLY,2.677800,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,EARLY,-1.208400,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,EARLY,0.811800,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15717705,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,EARLY,1.016100,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15719841,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,EARLY,1.280700,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720036,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,EARLY,1.849800,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,EARLY,-0.979500,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,EARLY,1.383600,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
