race_entry_suitability_aggregate_id,race_entry_context_adjusted_performance_id,race_entry_context_adjustment_id,race_entry_context_parameter_selection_id,race_entry_context_eligibility_id,race_entry_performance_context_id,race_entry_id,race_id,race_date,runner_id,canonical_horse_id,canonical_horse_name,historical_rating_value,context_parameter_id,total_context_adjustment,context_adjusted_performance_value,distance_suitability_value,class_suitability_value,track_suitability_value,track_configuration_suitability_value,track_condition_suitability_value,surface_suitability_value,barrier_suitability_value,weight_suitability_value,field_size_suitability_value,suitability_component_count,aggregate_suitability_value,suitability_aggregate_decision,race_entry_suitability_aggregate_status,source_adjusted_performance_evidence_sha256,source_component_evidence_set_sha256,race_entry_suitability_aggregate_evidence_sha256,source_adjusted_performance_builder_version,source_component_builder_version,builder_version,contract_version,built_at_utc
RESA-CUR-4A55C84114D7A2F177CBDA11,,,,,,99568159110,EIQD-EB9F8134D5BF682C7A99C9D3,2026-07-26,RCOM_HORSE_5351579,RCOM_HORSE_5351579,TALKIN’ STERN,2.3,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,2.3,,,,,,,,,,1,56.4,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,c5f48a2f7c6558b76b34baf2b430c9b1daa0ea52659464407c642e614bef6bd1,026bd1f994cac94fbda73243b3c6c405e9c8313b7798bb0cf0a6c2abc034b082,98fc283cddc29d3363c66dbb9013210538a435b1b1676a3ccecca26def4945bd,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-D852EAC2D6468C290F0F1B3C,,,,,,99528640920,EIQD-C37EA5A90D5C022617026D89,2026-07-26,RCOM_HORSE_872362,RCOM_HORSE_872362,THE COMEDIAN,-0.6,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,-0.6,,,,,,,,,,1,52.4,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,a29b88a89b960e018a68b5e0e568bde8440a5f663cd66d54a69a931a62ae1e05,04ca706fcce2594dffd2d78d34ba15ab81ca12ecbdb96bff715666517b5bc50f,848512da69e774d93d97a13ddc4cc204bc2d8ca932f15e0e895e4a8e180cfae0,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-45C551AC6A93FBFDB50F043F,,,,,,99539117070,EIQD-C37EA5A90D5C022617026D89,2026-07-26,RCOM_HORSE_5340233,RCOM_HORSE_5340233,WATTEN ASSETT,-1.6,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,-1.6,,,,,,,,,,1,49.4,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,4a3a71158daaba35e369250df3bf381df5d51538d4d8fe840b1208489e039228,d1e783e72a01060b31f9d36e4a112511cc785037b71c30a8539d995f435aa420,6a5c1b2b6fcb00309b1d371e5b24359c646d3f46c57d9f2bb5ec54583fdd54ce,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-9F423D8DD9E8EDDFAF73D35C,,,,,,99524001030,EIQD-C37EA5A90D5C022617026D89,2026-07-26,RCOM_HORSE_5357661,RCOM_HORSE_5357661,WINSILENCE (NZ),-3.2,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,-3.2,,,,,,,,,,1,46.0,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,013ad4bce77b643f4cca29ce6606900aef68a7c9d6a8008fb0b3001dd32fc048,2d2ab1d7c885c168bbbb06bd5db4a30a9cdb6fb6e569e0c50262da25cd593d14,e1a4a435f9f90dd85185dd2cd4bc30612d955a889b2136fde734a8fe08a673ca,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-830F45A71D6F1D643AB899B0,,,,,,99509910450,EIQD-C37EA5A90D5C022617026D89,2026-07-26,RCOM_HORSE_5312028,RCOM_HORSE_5312028,BANNED WITNESS,-2.4,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,-2.4,,,,,,,,,,1,47.2,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,0bff0dabf79372013544d4ea88f610b45952ef9415a05184ee5734aa5c0413da,85b5fc862bdbee0a331cec79895eebfc1a2ccba62ec20fc86e58efbd21b6b29a,4dc3d00d13ee7577b6077fc794396f5112e85a7db812182a366350757e8e3bb7,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-21465D010F3CB2115211DFE6,,,,,,99533413740,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,RCOM_HORSE_5246536,RCOM_HORSE_5246536,COME ALONG JEFFREY,0.5,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,0.5,,,,,,,,,,1,53.8,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,bd7a3d3c1d5000ee70f7eeadba0782f8f599afdf9568d8a1a0f035c504b5b2d2,1d69d27d841000cb2390274844e1ec5ae03e6edc3a4fc4af418de4ed967b803f,b463c2b967cd722799ff0be9a2582098360c8189fd6e7c32c558d17f1a04a250,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-0BDBA88EA53F1B1696A529D1,,,,,,99561139140,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,RCOM_HORSE_5353645,RCOM_HORSE_5353645,HUMZA BEY (NZ),0.1,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,0.1,,,,,,,,,,1,58.0,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,052bd8259d0a800150f5678ef9b88bdaaaac614d2feb6c0ce01c3a70ae19de16,a1d6b47335f8db83bbd6d6663ea4b3bd0573afbf6cd02e372eca1a6bfe0a3d0b,f560d197cb764185605ea88fc8fa544e8485b1dcb1e68bbf19675fafd43d35d2,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-5D458DD2869D012A8564C4E1,,,,,,99557518380,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,RCOM_HORSE_5326746,RCOM_HORSE_5326746,THINXZO,0.7,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,0.7,,,,,,,,,,1,62.3,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,4c34be5eb57ba62d5c20382b42590fdd920f87b8442e3ba7153bd6de7973f7c3,0fae5f4315590e9f697f8f1b6ebc22fb78d3666927a886c0ce95d74cd4d3f53a,2fbdbedb3c2ceb4b3a96712f6c4816becf25e66b46a6395aba9de66677c21a78,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-FE8DC4D18FC49AF8C86C8C30,,,,,,99565804350,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,RCOM_HORSE_5331062,RCOM_HORSE_5331062,DOLLAR SHOT,8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,8.0,,,,,,,,,,1,69.3,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,37bfc35dd767ef85251476ded23ecb66dc79fc4c934b1bce06a22f6e0eff7517,95d06f2708a198cf6ad44a4b223c133c6741d33ff8407ae6a1465fd1405edd9b,b6be423aa95fdffe100d08509a5404d9329463546f50c3d9032b2bfee473b176,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
RESA-CUR-2D05B6A6B9072A209F8F181C,,,,,,99558398250,EIQD-681F212AA6AA39D5B3E39D91,2026-07-26,RCOM_HORSE_5323720,RCOM_HORSE_5323720,UNTAPPED,-8.0,LIVE_FORM_GUIDE_COMPONENT_SOURCE,,-8.0,,,,,,,,,,1,52.7,SUITABILITY_AGGREGATED,GOVERNED_SUITABILITY_AGGREGATE,79eacbd7d8e4ca570da05d9d5f77e5352176d02740afb4beed028fa39db9c86e,fdc4e22929d842f1b8615c0b532402c7187f30fcc3765c44fc35c0d54a8191a7,5e0985ee2a7a237188b1d97cd6c04b5c48f029c45f8cd1c0f646e9a904e63dca,edgeiq_form_guide_enriched_v2,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,edgeiq_ra_to_rcom_bridge_current_performance_rebuild_v1,1.0.0,2026-07-30T00:00:00Z
