metric,value
races_in_lifecycle,8
pending_result_races,8
pending_timing_races,8
pending_condition_races,8
pending_speed_races,8
timed_races,70308
performance_base,52414
normalisation_rows,0
horse_ratings,0
epi_rows,0
status,PASS
operation_run_id,DAILYOPS-2026-07-15-2026-07-28-7E34B128B4
