operation_run_id,source_name,source_file,source_row_number,source_observed_at,source_evidence_sha256,raw_payload_sha256,raw_status
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,13,2026-07-30T04:23:22Z,86287d4d43d269e86baa6ee0dc663f2fa2c3a24d7b17e1f868e2c9f77ace579d,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,14,2026-07-30T04:23:22Z,7a4ef90375de3a4214dd0798da5cdd4aa9a8b7b67a13e19e5dae1492f02df1ce,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,15,2026-07-30T04:23:22Z,0bff0cb9a15df3020c04173018163928c5b0ae4d870b43f2f72a0178304cd08b,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,16,2026-07-30T04:23:22Z,5699e972436e7895cf69d4ce74204ca1cc57f0d37dedcb24f3f46af007f62858,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,17,2026-07-30T04:23:22Z,16342206867a867a429e7d683a2bb013b9c985d9ffda4e0f4e78ff630121bd6f,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,18,2026-07-30T04:23:22Z,7236cfb4200b444680e468f51242e3c78681d107b4580a5b24d811f368c31ae2,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,19,2026-07-30T04:23:22Z,c0fece547d2e8ee61011273623d789c922cb82ca24e5e1e78046016a87503d0d,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,20,2026-07-30T04:23:22Z,81256fa31db17249d940deaf944c167c37c5f033e0d98d202eae1a3542dca0ae,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,21,2026-07-30T04:23:22Z,d4f1c99939bf991afa62daf0080199ced5591943c49986ecec817d7103d1230d,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,22,2026-07-30T04:23:22Z,1c8c4b28a991baa0d563ff6d63027cb6eacfd0e798b714cdae05db3cb9a6c19b,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,23,2026-07-30T04:23:22Z,086d49d4dd233455141e9909902595985fa939d6f5ad05859b26663212928974,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
