race_entry_horse_rating_snapshot_id,canonical_race_id,canonical_runner_id,canonical_horse_id,canonical_horse_name,race_date,selected_horse_performance_rating_id,selected_rating_as_of_date,selected_horse_performance_rating_value,rating_age_days,eligible_prior_rating_count,first_eligible_rating_date,latest_eligible_rating_date,lowest_eligible_rating_value,highest_eligible_rating_value,average_eligible_rating_value,horse_performance_rating_method,horse_performance_rating_model_version,race_entry_horse_rating_snapshot_status,race_entry_horse_rating_snapshot_reason_code,source_race_entry_evidence_sha256,source_selected_rating_evidence_sha256,source_eligible_rating_ids_sha256,snapshot_builder_version,snapshot_method_version,race_entry_horse_rating_snapshot_evidence_sha256
d48603f1fbc2109a8ecdde3898c50bf16ad406b0017805c6d9a8787011de854e,RACE|2026-07-24|ECHUCA|R2|1000M|2026-07-24T03:10:00+00:00,RCOM_HORSE_5365022,RCOM_HORSE_5365022,Good Feel,2026-07-24,,,,,0,,,,,,,,SNAPSHOT_UNAVAILABLE,NO_GOVERNED_HISTORICAL_RATING,336235df5eec9fd80384841d69f7ccf1a6a88441c8fa1d4ee493b98a1f50b475,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,EDGEIQ_RACE_ENTRY_HORSE_RATING_SNAPSHOT_V2,STRICTLY_PRIOR_LATEST_GOVERNED_HORSE_RATING_V1,b90f282c5ca3a0e377af9c9d5d7e2f7ba5b6e87764793b89e434b03dada885c4
1661870fba4234fdc36fc3a04c6edafeec958f05d8f073c1ff988447e2997df8,RACE|2026-07-24|ECHUCA|R2|1000M|2026-07-24T03:10:00+00:00,RCOM_HORSE_5366181,RCOM_HORSE_5366181,Epponnee Rae,2026-07-24,,,,,0,,,,,,,,SNAPSHOT_UNAVAILABLE,NO_GOVERNED_HISTORICAL_RATING,2681b655414c824c35cd900f5069ea9dde5d68b451d364e9ad18d01ad591ae77,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,EDGEIQ_RACE_ENTRY_HORSE_RATING_SNAPSHOT_V2,STRICTLY_PRIOR_LATEST_GOVERNED_HORSE_RATING_V1,30c69ad3f035d8c5f75f4a299418a261d994fc4ab8f86c56a17a635f14ab3cce
90d66bd84bec71c40289795dd0d2c042ffb18961ca3d4793fe3d7f6f257b6346,RACE|2026-07-24|ECHUCA|R2|1000M|2026-07-24T03:10:00+00:00,RCOM_HORSE_5367059,RCOM_HORSE_5367059,Royalty Rules,2026-07-24,,,,,0,,,,,,,,SNAPSHOT_UNAVAILABLE,NO_GOVERNED_HISTORICAL_RATING,347ef3e7b8da00c35b44641c9a8a46ffbb25667ec84cd02c66ddb21df8c721d4,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,EDGEIQ_RACE_ENTRY_HORSE_RATING_SNAPSHOT_V2,STRICTLY_PRIOR_LATEST_GOVERNED_HORSE_RATING_V1,58ac253ae4d50bc324639b71492897ef3ccd1001f2b3c98d484c3fdeb42bce50
5dd6c72c0a1c9c3b25b78bfe4143d0e2bbd1e9344d7b29356fb8a3cf2747a587,RACE|2026-07-24|ECHUCA|R2|1000M|2026-07-24T03:10:00+00:00,RCOM_HORSE_5367549,RCOM_HORSE_5367549,Brazen Madonna,2026-07-24,,,,,0,,,,,,,,SNAPSHOT_UNAVAILABLE,NO_GOVERNED_HISTORICAL_RATING,8b86f765753c461cf10f513aa31e726a0b4cf397e67131a96a869f5605b6dcb0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,EDGEIQ_RACE_ENTRY_HORSE_RATING_SNAPSHOT_V2,STRICTLY_PRIOR_LATEST_GOVERNED_HORSE_RATING_V1,14d9e1ae2a582bff3d5f48ee85de8cab11cc8a5d5447c03e6a0c9338a525c45b
5ffe07bba450e840fce1d2ae69aaef5526cdb843c0a7efdfd54e7dca563fa8a8,RACE|2026-07-24|ECHUCA|R2|1000M|2026-07-24T03:10:00+00:00,RCOM_HORSE_5368329,RCOM_HORSE_5368329,Inside Word,2026-07-24,,,,,0,,,,,,,,SNAPSHOT_UNAVAILABLE,NO_GOVERNED_HISTORICAL_RATING,2e7b84266311cf4a981a9c08511bd3f6e2f3dba761925136817244b59c55fe41,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,EDGEIQ_RACE_ENTRY_HORSE_RATING_SNAPSHOT_V2,STRICTLY_PRIOR_LATEST_GOVERNED_HORSE_RATING_V1,65de6e55a169e775d8ff70690e47480363377ee0b3425991ef94771ed1ba1dd0
70e857fe072fa87e3136d76ec2a92c0e7c9ae2a7e1d9dd49f3f7e1f0ad85e996,RACE|2026-07-24|ECHUCA|R2|1000M|2026-07-24T03:10:00+00:00,RCOM_HORSE_5371382,RCOM_HORSE_5371382,Imperial Valley,2026-07-24,,,,,0,,,,,,,,SNAPSHOT_UNAVAILABLE,NO_GOVERNED_HISTORICAL_RATING,b1313f8b6a52da095fd06b4f6cdb111af9eeaf37ccce9cc93a073ee7fa345e1c,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,EDGEIQ_RACE_ENTRY_HORSE_RATING_SNAPSHOT_V2,STRICTLY_PRIOR_LATEST_GOVERNED_HORSE_RATING_V1,a581e788ade29684772e6f8790b9ac53a6bdfa0c78353784218217ad98f371c6
d0be83d75899b6a8ac9c27bcc59e98e9a986add9931d054438edace74eef31be,RACE|2026-07-24|ECHUCA|R2|1000M|2026-07-24T03:10:00+00:00,RCOM_HORSE_5371664,RCOM_HORSE_5371664,Somers Green,2026-07-24,,,,,0,,,,,,,,SNAPSHOT_UNAVAILABLE,NO_GOVERNED_HISTORICAL_RATING,dfed1b0d932cc94c2e6a5a3b4fcf153ec30d09ad32a1b4713d807cf95fd1f59d,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,EDGEIQ_RACE_ENTRY_HORSE_RATING_SNAPSHOT_V2,STRICTLY_PRIOR_LATEST_GOVERNED_HORSE_RATING_V1,303773a5d01b34b7a8341f6a245a007b8f080f17e5963ada45d8fbb23ddfb48b
e84fcd1f0d88bdfa7d1346854a959b9e0218001a49846858ac80dc625201b33b,RACE|2026-07-24|ECHUCA|R2|1000M|2026-07-24T03:10:00+00:00,RCOM_HORSE_5372271,RCOM_HORSE_5372271,Myhro's Ruler,2026-07-24,,,,,0,,,,,,,,SNAPSHOT_UNAVAILABLE,NO_GOVERNED_HISTORICAL_RATING,7d6192eb081e41c7a3d58fe8358f5b3ed70b0f613f87ef733a997e8692e99a89,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,EDGEIQ_RACE_ENTRY_HORSE_RATING_SNAPSHOT_V2,STRICTLY_PRIOR_LATEST_GOVERNED_HORSE_RATING_V1,de7fef197861c89cfc86c8ab8bd472b3de158830684ff9419ba0c27fe18472f4
b72102d0664eb2b028a61187ef754358409bc62c931a3cccc895257003ba2e49,RACE|2026-07-24|ECHUCA|R3|1600M|2026-07-24T03:45:00+00:00,RCOM_HORSE_5329743,RCOM_HORSE_5329743,Harry Caviar,2026-07-24,,,,,0,,,,,,,,SNAPSHOT_UNAVAILABLE,NO_GOVERNED_HISTORICAL_RATING,d0e28ba4835de5c4637a0004ee61192cf125cec03fc785e6108b4169364e08cc,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,EDGEIQ_RACE_ENTRY_HORSE_RATING_SNAPSHOT_V2,STRICTLY_PRIOR_LATEST_GOVERNED_HORSE_RATING_V1,88eaeb34b8a422b5e1bf9fce4742c1179152a47730b94c687d2917fa48b190b3
8e796d8784e34baa4187f5da5052d265f4d0e11a93c735fbc2dca0de92ec764f,RACE|2026-07-24|ECHUCA|R3|1600M|2026-07-24T03:45:00+00:00,RCOM_HORSE_5341984,RCOM_HORSE_5341984,Embodiment,2026-07-24,,,,,0,,,,,,,,SNAPSHOT_UNAVAILABLE,NO_GOVERNED_HISTORICAL_RATING,0e4b77d8b3d4d5bcc5ce8f70e9f115e797103317d0541999aeec245a5394eea7,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,EDGEIQ_RACE_ENTRY_HORSE_RATING_SNAPSHOT_V2,STRICTLY_PRIOR_LATEST_GOVERNED_HORSE_RATING_V1,26b2fc3a1b745da6f830696303b716ad41d6582be3a01d2ea9a756aca8d29dde
