physical_location_id,track_ids,track_names,bom_search_name,legacy_candidate_url,http_status,final_bom_url,page_title,content_type,location_name_confirmed,verification_status,observation_authority,forecast_role,last_verified_at,verification_method,error,manual_verified,manual_notes,resolution_status,candidate_count,selected_candidate_score,selected_candidate_reason,search_page_url,search_http_status,search_page_title,resolution_verified_at,resolver_version
ECHUCA,ECHUCA,Echuca,Echuca,https://www.bom.gov.au/places/vic/echuca/,200,https://www.bom.gov.au/search?query=echuca,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:07.606744+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Echuca,200,Search | The Bureau of Meteorology,2026-07-13T21:59:07.606805+00:00,edgeiq_bom_search_location_resolver_v1
HAMILTON,HAMILTON,Hamilton,Hamilton,https://www.bom.gov.au/places/vic/hamilton/,200,https://www.bom.gov.au/search?query=hamilton,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:08.235894+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Hamilton,200,Search | The Bureau of Meteorology,2026-07-13T21:59:08.235962+00:00,edgeiq_bom_search_location_resolver_v1
HORSHAM,HORSHAM,Horsham,Horsham,https://www.bom.gov.au/places/vic/horsham/,200,https://www.bom.gov.au/search?query=horsham,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:08.863788+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Horsham,200,Search | The Bureau of Meteorology,2026-07-13T21:59:08.863867+00:00,edgeiq_bom_search_location_resolver_v1
KILMORE,KILMORE,Kilmore,Kilmore,https://www.bom.gov.au/places/vic/kilmore/,200,https://www.bom.gov.au/search?query=kilmore,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:09.469178+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Kilmore,200,Search | The Bureau of Meteorology,2026-07-13T21:59:09.469264+00:00,edgeiq_bom_search_location_resolver_v1
KYNETON,KYNETON,Kyneton,Kyneton,https://www.bom.gov.au/places/vic/kyneton/,200,https://www.bom.gov.au/search?query=kyneton,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:10.078956+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Kyneton,200,Search | The Bureau of Meteorology,2026-07-13T21:59:10.079011+00:00,edgeiq_bom_search_location_resolver_v1
MANSFIELD,MANSFIELD,Mansfield,Mansfield,https://www.bom.gov.au/places/vic/mansfield/,200,,,,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:10.780681+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Mansfield,200,Search | The Bureau of Meteorology,2026-07-13T21:59:10.780739+00:00,edgeiq_bom_search_location_resolver_v1
MOE,MOE,Moe,Moe,https://www.bom.gov.au/places/vic/moe/,200,https://www.bom.gov.au/search?query=moe,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:11.438466+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Moe,200,Search | The Bureau of Meteorology,2026-07-13T21:59:11.438523+00:00,edgeiq_bom_search_location_resolver_v1
MURTOA,MURTOA,Murtoa,Murtoa,https://www.bom.gov.au/places/vic/murtoa/,200,https://www.bom.gov.au/search?query=murtoa,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:12.109906+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Murtoa,200,Search | The Bureau of Meteorology,2026-07-13T21:59:12.109967+00:00,edgeiq_bom_search_location_resolver_v1
SALE,SALE,Sale,Sale,https://www.bom.gov.au/places/vic/sale/,200,https://www.bom.gov.au/search?query=sale,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:12.733546+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Sale,200,Search | The Bureau of Meteorology,2026-07-13T21:59:12.733620+00:00,edgeiq_bom_search_location_resolver_v1
SEYMOUR,SEYMOUR,Seymour,Seymour,https://www.bom.gov.au/places/vic/seymour/,200,https://www.bom.gov.au/search?query=seymour,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:13.389586+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Seymour,200,Search | The Bureau of Meteorology,2026-07-13T21:59:13.389644+00:00,edgeiq_bom_search_location_resolver_v1
ST_ARNAUD,ST_ARNAUD,St Arnaud,St Arnaud,https://www.bom.gov.au/places/vic/st-arnaud/,200,https://www.bom.gov.au/search?query=st+arnaud,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:14.091135+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=St+Arnaud,200,Search | The Bureau of Meteorology,2026-07-13T21:59:14.091191+00:00,edgeiq_bom_search_location_resolver_v1
SWAN_HILL,SWAN_HILL,Swan Hill,Swan Hill,https://www.bom.gov.au/places/vic/swan-hill/,200,https://www.bom.gov.au/search?query=swan+hill,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:14.764365+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Swan+Hill,200,Search | The Bureau of Meteorology,2026-07-13T21:59:14.764422+00:00,edgeiq_bom_search_location_resolver_v1
TERANG,TERANG,Terang,Terang,https://www.bom.gov.au/places/vic/terang/,200,https://www.bom.gov.au/search?query=terang,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:15.439995+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Terang,200,Search | The Bureau of Meteorology,2026-07-13T21:59:15.440047+00:00,edgeiq_bom_search_location_resolver_v1
WANGARATTA,WANGARATTA,Wangaratta,Wangaratta,https://www.bom.gov.au/places/vic/wangaratta/,200,https://www.bom.gov.au/search?query=wangaratta,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:16.073707+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Wangaratta,200,Search | The Bureau of Meteorology,2026-07-13T21:59:16.073765+00:00,edgeiq_bom_search_location_resolver_v1
WARRACKNABEAL,WARRACKNABEAL,Warracknabeal,Warracknabeal,https://www.bom.gov.au/places/vic/warracknabeal/,200,https://www.bom.gov.au/search?query=warracknabeal,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:16.691543+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Warracknabeal,200,Search | The Bureau of Meteorology,2026-07-13T21:59:16.691596+00:00,edgeiq_bom_search_location_resolver_v1
WARRNAMBOOL,WARRNAMBOOL,Warrnambool,Warrnambool,https://www.bom.gov.au/places/vic/warrnambool/,200,https://www.bom.gov.au/search?query=warrnambool,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:17.345342+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Warrnambool,200,Search | The Bureau of Meteorology,2026-07-13T21:59:17.345413+00:00,edgeiq_bom_search_location_resolver_v1
WERRIBEE,WERRIBEE,Werribee,Werribee,https://www.bom.gov.au/places/vic/werribee/,200,https://www.bom.gov.au/search?query=werribee,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:18.008792+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Werribee,200,Search | The Bureau of Meteorology,2026-07-13T21:59:18.008853+00:00,edgeiq_bom_search_location_resolver_v1
YARRA_VALLEY,YARRA_VALLEY,Yarra Valley,Yarra Glen,https://www.bom.gov.au/places/vic/yarra-glen/,200,https://www.bom.gov.au/search?query=yarra+glen,Search | The Bureau of Meteorology,text/html; charset=UTF-8,NO,UNRESOLVED,BOM_FALLBACK_REQUIRED,BOM_FORECAST_LOCATION,2026-07-13T21:59:18.657580+00:00,BOM search-page location extraction,,,,UNRESOLVED,0,,,https://www.bom.gov.au/search?query=Yarra+Glen,200,Search | The Bureau of Meteorology,2026-07-13T21:59:18.657640+00:00,edgeiq_bom_search_location_resolver_v1
