1/05/2026 12:00:00 AM;Ladbrokes Geelong-Professional-2026-05-01;Loaram Constructions Maiden Plate;00:01:35.610;GEEL_1500m_TRACK
Falstaffian;2;143;16.94;00:00:10.650;343;17.46;00:00:11.610;543;17.06;00:00:11.820;743;17.19;00:00:11.930;943;16.76;00:00:12.160;1143;18.07;00:00:11.530;1343;18.05;00:00:11.250;1543;17.62;00:00:11.730
Hydrothermal;8;143;16.9;00:00:10.870;343;17.47;00:00:11.600;543;17.24;00:00:11.940;743;16.79;00:00:11.990;943;16.81;00:00:12.140;1143;18.25;00:00:11.370;1343;18.35;00:00:11.090;1543;17.58;00:00:12.230
No No No No No;4;143;16.95;00:00:11.070;343;17.7;00:00:11.450;543;17.47;00:00:11.720;743;17.25;00:00:12.250;943;17.08;00:00:12.240;1143;18.38;00:00:11.350;1343;18.75;00:00:11.110;1543;17.11;00:00:12.240
Reel Raider;6;143;16.99;00:00:10.770;343;17.44;00:00:11.620;543;17.11;00:00:11.950;743;16.76;00:00:12.140;943;17.12;00:00:12.170;1143;18.16;00:00:11.500;1343;18.16;00:00:11.440;1543;17.01;00:00:11.840
The Mailer;5;143;16.96;00:00:11.090;343;17.51;00:00:11.570;543;17.17;00:00:11.920;743;16.79;00:00:12.130;943;17.07;00:00:12.180;1143;18.21;00:00:11.510;1343;18.1;00:00:11.330;1543;17.24;00:00:11.840
Money Wheel;3;143;16.53;00:00:11.240;343;17.36;00:00:11.740;543;16.89;00:00:12.010;743;16.76;00:00:11.980;943;16.98;00:00:12.010;1143;17.92;00:00:11.680;1343;18.11;00:00:11.300;1543;17.49;00:00:12.060
Enniscrone;1;143;16.58;00:00:11.030;343;17.05;00:00:11.870;543;16.85;00:00:11.980;743;16.79;00:00:12.150;943;17.22;00:00:12.080;1143;18.08;00:00:11.530;1343;18.03;00:00:11.460;1543;17.09;00:00:12.610
Tiger Lily;7;143;16.75;00:00:11.160;343;17.49;00:00:11.630;543;17.03;00:00:11.950;743;16.88;00:00:11.970;943;16.89;00:00:12.130;1143;17.9;00:00:11.670;1343;17.71;00:00:11.700;1543;16.13;00:00:13.270
