source_track_name,canonical_track,course_identity,source_surface,canonical_surface_group,country,status,effective_from,effective_to,registry_version
Southside Pakenham Synthetic,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,AU,RESOLVED_AUSTRALIAN_SYNTHETIC,,,EDGEIQ_CANONICAL_SURFACE_REGISTRY_V1
Pakenham Synthetic,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,AU,RESOLVED_AUSTRALIAN_SYNTHETIC,,,EDGEIQ_CANONICAL_SURFACE_REGISTRY_V1
Sportsbet Pakenham Synthetic,Pakenham,PAKENHAM_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,AU,RESOLVED_AUSTRALIAN_SYNTHETIC,,,EDGEIQ_CANONICAL_SURFACE_REGISTRY_V1
Ballarat Synthetic,Ballarat,BALLARAT_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,AU,RESOLVED_AUSTRALIAN_SYNTHETIC,,,EDGEIQ_CANONICAL_SURFACE_REGISTRY_V1
Geelong Synthetic,Geelong,GEELONG_SYNTHETIC,Synthetic,AUSTRALIAN_SYNTHETIC,AU,RESOLVED_AUSTRALIAN_SYNTHETIC,,,EDGEIQ_CANONICAL_SURFACE_REGISTRY_V1
Pakenham Turf,Pakenham,PAKENHAM_TURF,Turf,TURF,AU,RESOLVED_TURF,,,EDGEIQ_CANONICAL_SURFACE_REGISTRY_V1
Pakenham,Pakenham,,,,AU,BLOCKED_AMBIGUOUS_COURSE,,,EDGEIQ_CANONICAL_SURFACE_REGISTRY_V1
