track_group,source_page,live_request_url,method,fetched_at,http_status,content_type,byte_count,source_status,raw_response_file,headers_file,schema_status
Flemington,https://www.vrc.com.au/track-and-weather-conditions/,https://www.vrc.com.au/umbraco/api/TurfSportsAPI/GetTurfData,GET,20260713T220906Z,200,application/json; charset=utf-8,3056,LIVE_AVAILABLE,data\weather-source-live\flemington\20260713T220906Z\raw_response.json,data\weather-source-live\flemington\20260713T220906Z\headers.json,SCHEMA_OK
Caulfield,https://its.turftrax.co.uk/visualiser/caulfield/,https://its.turftrax.co.uk/visualiser/stream/caulfield.html,GET,20260713T220906Z,200,application/json; charset=utf-8,39405,LIVE_AVAILABLE,data\weather-source-live\caulfield\20260713T220906Z\raw_response.json,data\weather-source-live\caulfield\20260713T220906Z\headers.json,SCHEMA_OK
Sandown,https://its.turftrax.co.uk/visualiser/ladbrokes/,https://its.turftrax.co.uk/visualiser/stream/ladbrokes.html,GET,20260713T220906Z,200,application/json; charset=utf-8,33429,LIVE_AVAILABLE,data\weather-source-live\sandown\20260713T220906Z\raw_response.json,data\weather-source-live\sandown\20260713T220906Z\headers.json,SCHEMA_OK
Mornington,https://its.turftrax.co.uk/visualiser/mornington/,https://its.turftrax.co.uk/visualiser/stream/mornington.html,GET,20260713T220906Z,200,application/json; charset=utf-8,27437,LIVE_AVAILABLE,data\weather-source-live\mornington\20260713T220906Z\raw_response.json,data\weather-source-live\mornington\20260713T220906Z\headers.json,SCHEMA_OK
