track_group,target_field,origin,conversion,source_unit,target_unit,fabricated,notes
Flemington,temperature_c,source temperature-current; unit C,NONE,C,C,NO,
Flemington,wind_speed_kmh,source windspeed-current; unit km/h,NONE,km/h,km/h,NO,
Flemington,wind_speed_average_kmh,source windspeed-average; unit km/h,NONE,km/h,km/h,NO,
Flemington,wind_gust_kmh,source windgust-current; unit km/h,NONE,km/h,km/h,NO,
Flemington,wind_gust_max_kmh,source windgust-max; unit km/h,NONE,km/h,km/h,NO,
Flemington,rain_today_mm,source rain1-today/rain2-today; unit mm,NONE,mm,mm,NO,
Flemington,rain_24h_mm,source rain1-24hr/rain2-24hr; unit mm,NONE,mm,mm,NO,
Flemington,rain_7d_mm,source rain1-7day/rain2-7day; unit mm,NONE,mm,mm,NO,
Flemington,freshness_status,on_track_weather_freshness_v1.csv,NONE,,,NO,
Flemington,usable_as_current,on_track_weather_freshness_v1.csv,NONE,,,NO,
Caulfield,temperature_c,source temperature-current; unit C,NONE,C,C,NO,
Caulfield,wind_speed_kmh,source windspeed-current; unit km/h,NONE,km/h,km/h,NO,
Caulfield,wind_speed_average_kmh,source windspeed-average; unit km/h,NONE,km/h,km/h,NO,
Caulfield,wind_gust_kmh,source windgust-current; unit km/h,NONE,km/h,km/h,NO,
Caulfield,wind_gust_max_kmh,source windgust-max; unit km/h,NONE,km/h,km/h,NO,
Caulfield,rain_today_mm,source rain1-today/rain2-today; unit mm,NONE,mm,mm,NO,
Caulfield,rain_24h_mm,source rain1-24hr/rain2-24hr; unit mm,NONE,mm,mm,NO,
Caulfield,rain_7d_mm,source rain1-7day/rain2-7day; unit mm,NONE,mm,mm,NO,
Caulfield,freshness_status,on_track_weather_freshness_v1.csv,NONE,,,NO,
Caulfield,usable_as_current,on_track_weather_freshness_v1.csv,NONE,,,NO,
Sandown,temperature_c,source temperature-current; unit C,NONE,C,C,NO,
Sandown,wind_speed_kmh,source windspeed-current; unit km/h,NONE,km/h,km/h,NO,
Sandown,wind_speed_average_kmh,source windspeed-average; unit km/h,NONE,km/h,km/h,NO,
Sandown,wind_gust_kmh,source windgust-current; unit km/h,NONE,km/h,km/h,NO,
Sandown,wind_gust_max_kmh,source windgust-max; unit km/h,NONE,km/h,km/h,NO,
Sandown,rain_today_mm,source rain1-today/rain2-today; unit mm,NONE,mm,mm,NO,
Sandown,rain_24h_mm,source rain1-24hr/rain2-24hr; unit mm,NONE,mm,mm,NO,
Sandown,rain_7d_mm,source rain1-7day/rain2-7day; unit mm,NONE,mm,mm,NO,
Sandown,freshness_status,on_track_weather_freshness_v1.csv,NONE,,,NO,
Sandown,usable_as_current,on_track_weather_freshness_v1.csv,NONE,,,NO,
Mornington,temperature_c,source temperature-current; unit C,NONE,C,C,NO,
Mornington,wind_speed_kmh,source windspeed-current; unit km/h,NONE,km/h,km/h,NO,
Mornington,wind_speed_average_kmh,source windspeed-average; unit km/h,NONE,km/h,km/h,NO,
Mornington,wind_gust_kmh,source windgust-current; unit km/h,NONE,km/h,km/h,NO,
Mornington,wind_gust_max_kmh,source windgust-max; unit km/h,NONE,km/h,km/h,NO,
Mornington,rain_today_mm,source rain1-today/rain2-today; unit mm,NONE,mm,mm,NO,
Mornington,rain_24h_mm,source rain1-24hr/rain2-24hr; unit mm,NONE,mm,mm,NO,
Mornington,rain_7d_mm,source rain1-7day/rain2-7day; unit mm,NONE,mm,mm,NO,
Mornington,freshness_status,on_track_weather_freshness_v1.csv,NONE,,,NO,
Mornington,usable_as_current,on_track_weather_freshness_v1.csv,NONE,,,NO,
